Bus No,Date,Time,Week Day,Bus Type,Driver Rating Based On Time,Driver Rating Based On Decepline,Bus Rating,Driver Age,Weather,Longtide,Latitude
NA-7111,2020-01-09,16:18:45,Thursday,Normal,4,4.5,4.5,32,32,8.35405,80.43366
NA-7111,2020-01-09,16:18:46,Thursday,Normal,4,4.5,4.5,32,32,8.35407,80.43379
NA-7111,2020-01-09,16:18:47,Thursday,Normal,4,4.5,4.5,32,32,8.35408,80.43392
NA-7111,2020-01-09,16:18:48,Thursday,Normal,4,4.5,4.5,32,32,8.3541,80.43404
NA-7111,2020-01-09,16:18:49,Thursday,Normal,4,4.5,4.5,32,32,8.35411,80.43415
NA-7111,2020-01-09,16:18:50,Thursday,Normal,4,4.5,4.5,32,32,8.35411,80.43426
NA-7111,2020-01-09,16:18:51,Thursday,Normal,4,4.5,4.5,32,32,8.35412,80.43438
NA-7111,2020-01-09,16:18:52,Thursday,Normal,4,4.5,4.5,32,32,8.35412,80.43449
NA-7111,2020-01-09,16:18:53,Thursday,Normal,4,4.5,4.5,32,32,8.35413,80.43462
NA-7111,2020-01-09,16:18:54,Thursday,Normal,4,4.5,4.5,32,32,8.35414,80.43476
NA-7111,2020-01-09,16:18:55,Thursday,Normal,4,4.5,4.5,32,32,8.35415,80.4349
NA-7111,2020-01-09,16:18:56,Thursday,Normal,4,4.5,4.5,32,32,8.35416,80.43504
NA-7111,2020-01-09,16:18:57,Thursday,Normal,4,4.5,4.5,32,32,8.35416,80.43519
NA-7111,2020-01-09,16:18:58,Thursday,Normal,4,4.5,4.5,32,32,8.35417,80.43533
NA-7111,2020-01-09,16:18:59,Thursday,Normal,4,4.5,4.5,32,32,8.35417,80.43548
NA-7111,2020-01-09,16:19:00,Thursday,Normal,4,4.5,4.5,32,32,8.35418,80.43563
NA-7111,2020-01-09,16:19:01,Thursday,Normal,4,4.5,4.5,32,32,8.35419,80.43578
NA-7111,2020-01-09,16:19:02,Thursday,Normal,4,4.5,4.5,32,32,8.3542,80.43592
NA-7111,2020-01-09,16:19:03,Thursday,Normal,4,4.5,4.5,32,32,8.35421,80.43606
NA-7111,2020-01-09,16:19:04,Thursday,Normal,4,4.5,4.5,32,32,8.35421,80.43619
NA-7111,2020-01-09,16:19:05,Thursday,Normal,4,4.5,4.5,32,32,8.35421,80.4363
NA-7111,2020-01-09,16:19:06,Thursday,Normal,4,4.5,4.5,32,32,8.3542,80.43641
NA-7111,2020-01-09,16:19:07,Thursday,Normal,4,4.5,4.5,32,32,8.3542,80.43653
NA-7111,2020-01-09,16:19:08,Thursday,Normal,4,4.5,4.5,32,32,8.35421,80.43664
NA-7111,2020-01-09,16:19:09,Thursday,Normal,4,4.5,4.5,32,32,8.35421,80.43675
NA-7111,2020-01-09,16:19:10,Thursday,Normal,4,4.5,4.5,32,32,8.35422,80.43687
NA-7111,2020-01-09,16:19:11,Thursday,Normal,4,4.5,4.5,32,32,8.35423,80.437
NA-7111,2020-01-09,16:19:12,Thursday,Normal,4,4.5,4.5,32,32,8.35424,80.43713
NA-7111,2020-01-09,16:19:13,Thursday,Normal,4,4.5,4.5,32,32,8.35424,80.43725
NA-7111,2020-01-09,16:19:14,Thursday,Normal,4,4.5,4.5,32,32,8.35425,80.43737
NA-7111,2020-01-09,16:19:15,Thursday,Normal,4,4.5,4.5,32,32,8.35425,80.43748
NA-7111,2020-01-09,16:19:16,Thursday,Normal,4,4.5,4.5,32,32,8.35425,80.4376
NA-7111,2020-01-09,16:19:17,Thursday,Normal,4,4.5,4.5,32,32,8.35426,80.43773
NA-7111,2020-01-09,16:19:18,Thursday,Normal,4,4.5,4.5,32,32,8.35427,80.43785
NA-7111,2020-01-09,16:19:19,Thursday,Normal,4,4.5,4.5,32,32,8.35428,80.43797
NA-7111,2020-01-09,16:19:20,Thursday,Normal,4,4.5,4.5,32,32,8.3543,80.43809
NA-7111,2020-01-09,16:19:21,Thursday,Normal,4,4.5,4.5,32,32,8.35431,80.43821
NA-7111,2020-01-09,16:19:22,Thursday,Normal,4,4.5,4.5,32,32,8.35432,80.43832
NA-7111,2020-01-09,16:19:23,Thursday,Normal,4,4.5,4.5,32,32,8.35433,80.43842
NA-7111,2020-01-09,16:19:24,Thursday,Normal,4,4.5,4.5,32,32,8.35434,80.43853
