Bus No,Date,Time,Driver rating based on time,Driver rating based on decipline,Bus rating,Driver Age,Weather,Bus type,Longtide,Latitude,Start/End
NC - 5210,2020/02/19,9:42:15,4,4.5,4.5,32,33,Normal,8.5487642,80.831866,
NC - 5210,2020/02/19,9:42:31,4,4.5,4.5,32,33,Normal,8.5487646,80.8318662,
NC - 5210,2020/02/19,9:42:40,4,4.5,4.5,32,33,Normal,8.5487647,80.831866,
NC - 5210,2020/02/19,9:42:51,4,4.5,4.5,32,33,Normal,8.5487646,80.831866,
NC - 5210,2020/02/19,9:43:00,4,4.5,4.5,32,33,Normal,8.5487646,80.8318657,
NC - 5210,2020/02/19,9:43:13,4,4.5,4.5,32,33,Normal,8.5487638,80.8318652,
NC - 5210,2020/02/19,9:43:19,4,4.5,4.5,32,33,Normal,8.548764,80.8318654,
NC - 5210,2020/02/19,9:43:31,4,4.5,4.5,32,33,Normal,8.5487644,80.8318661,
NC - 5210,2020/02/19,9:43:47,4,4.5,4.5,32,33,Normal,8.548764,80.8318656,
NC - 5210,2020/02/19,9:44:04,4,4.5,4.5,32,33,Normal,8.5487648,80.8318658,
NC - 5210,2020/02/19,9:44:10,4,4.5,4.5,32,33,Normal,8.5487649,80.8318657,
NC - 5210,2020/02/19,9:44:22,4,4.5,4.5,32,33,Normal,8.5487651,80.8318656,
NC - 5210,2020/02/19,9:44:33,4,4.5,4.5,32,33,Normal,8.5487655,80.8318653,
NC - 5210,2020/02/19,9:44:43,4,4.5,4.5,32,33,Normal,8.5487658,80.8318653,
NC - 5210,2020/02/19,9:44:59,4,4.5,4.5,32,33,Normal,8.5487665,80.8318653,
NC - 5210,2020/02/19,9:45:17,4,4.5,4.5,32,33,Normal,8.5487666,80.8318655,
NC - 5210,2020/02/19,9:45:22,4,4.5,4.5,32,33,Normal,8.5487667,80.8318654,
NC - 5210,2020/02/19,9:45:35,4,4.5,4.5,32,33,Normal,8.5487668,80.8318655,
NC - 5210,2020/02/19,9:45:44,4,4.5,4.5,32,33,Normal,8.5487667,80.8318652,
NC - 5210,2020/02/19,9:45:54,4,4.5,4.5,32,33,Normal,8.5487665,80.8318649,
NC - 5210,2020/02/19,9:46:04,4,4.5,4.5,32,33,Normal,8.5487671,80.8318649,
NC - 5210,2020/02/19,9:46:14,4,4.5,4.5,32,33,Normal,8.5487678,80.8318656,
NC - 5210,2020/02/19,9:46:24,4,4.5,4.5,32,33,Normal,8.5487676,80.8318656,
NC - 5210,2020/02/19,9:46:34,4,4.5,4.5,32,33,Normal,8.5487675,80.8318659,
NC - 5210,2020/02/19,9:46:44,4,4.5,4.5,32,33,Normal,8.5487673,80.8318661,
NC - 5210,2020/02/19,9:46:54,4,4.5,4.5,32,33,Normal,8.5487674,80.8318664,
NC - 5210,2020/02/19,9:47:03,4,4.5,4.5,32,33,Normal,8.5487672,80.8318664,
NC - 5210,2020/02/19,9:47:13,4,4.5,4.5,32,33,Normal,8.5487671,80.8318664,
NC - 5210,2020/02/19,9:47:23,4,4.5,4.5,32,33,Normal,8.5487671,80.8318663,
NC - 5210,2020/02/19,9:47:34,4,4.5,4.5,32,33,Normal,8.5487676,80.8318662,
NC - 5210,2020/02/19,9:47:43,4,4.5,4.5,32,33,Normal,8.5487681,80.8318654,
NC - 5210,2020/02/19,9:47:53,4,4.5,4.5,32,33,Normal,8.5487685,80.8318648,
NC - 5210,2020/02/19,9:48:03,4,4.5,4.5,32,33,Normal,8.5487689,80.8318644,
NC - 5210,2020/02/19,9:48:14,4,4.5,4.5,32,33,Normal,8.5487687,80.8318652,
NC - 5210,2020/02/19,9:48:24,4,4.5,4.5,32,33,Normal,8.5487671,80.831865,
NC - 5210,2020/02/19,9:48:34,4,4.5,4.5,32,33,Normal,8.5487654,80.8318641,
NC - 5210,2020/02/19,9:48:43,4,4.5,4.5,32,33,Normal,8.5487637,80.8318624,
NC - 5210,2020/02/19,9:48:54,4,4.5,4.5,32,33,Normal,8.5487614,80.8318604,
NC - 5210,2020/02/19,9:49:03,4,4.5,4.5,32,33,Normal,8.5487603,80.8318593,
NC - 5210,2020/02/19,9:49:13,4,4.5,4.5,32,33,Normal,8.5487586,80.8318578,
NC - 5210,2020/02/19,9:49:23,4,4.5,4.5,32,33,Normal,8.5487573,80.8318565,
NC - 5210,2020/02/19,9:49:34,4,4.5,4.5,32,33,Normal,8.5487549,80.8318544,
NC - 5210,2020/02/19,9:49:44,4,4.5,4.5,32,33,Normal,8.5487536,80.8318536,
NC - 5210,2020/02/19,9:49:54,4,4.5,4.5,32,33,Normal,8.5487522,80.8318533,
NC - 5210,2020/02/19,9:50:04,4,4.5,4.5,32,33,Normal,8.5487512,80.8318529,
NC - 5210,2020/02/19,9:50:14,4,4.5,4.5,32,33,Normal,8.5487514,80.8318533,
NC - 5210,2020/02/19,9:50:23,4,4.5,4.5,32,33,Normal,8.5487513,80.8318539,
NC - 5210,2020/02/19,9:50:34,4,4.5,4.5,32,33,Normal,8.5487517,80.8318543,
NC - 5210,2020/02/19,9:50:43,4,4.5,4.5,32,33,Normal,8.5487513,80.8318543,
NC - 5210,2020/02/19,9:50:53,4,4.5,4.5,32,33,Normal,8.548751,80.8318544,
NC - 5210,2020/02/19,9:51:03,4,4.5,4.5,32,33,Normal,8.5487507,80.8318541,
NC - 5210,2020/02/19,9:51:15,4,4.5,4.5,32,33,Normal,8.5487498,80.8318526,
NC - 5210,2020/02/19,9:51:24,4,4.5,4.5,32,33,Normal,8.5487486,80.8318515,
NC - 5210,2020/02/19,9:51:35,4,4.5,4.5,32,33,Normal,8.548746,80.8318492,
NC - 5210,2020/02/19,9:51:44,4,4.5,4.5,32,33,Normal,8.5487465,80.8318494,
NC - 5210,2020/02/19,9:51:54,4,4.5,4.5,32,33,Normal,8.5487459,80.8318488,
NC - 5210,2020/02/19,9:52:04,4,4.5,4.5,32,33,Normal,8.5487453,80.8318485,
NC - 5210,2020/02/19,9:52:13,4,4.5,4.5,32,33,Normal,8.5487432,80.831847,
NC - 5210,2020/02/19,9:52:24,4,4.5,4.5,32,33,Normal,8.5487418,80.831846,
NC - 5210,2020/02/19,9:52:33,4,4.5,4.5,32,33,Normal,8.5487413,80.8318456,
NC - 5210,2020/02/19,9:52:43,4,4.5,4.5,32,33,Normal,8.548741,80.8318452,
NC - 5210,2020/02/19,9:52:54,4,4.5,4.5,32,33,Normal,8.5487416,80.8318449,
NC - 5210,2020/02/19,9:53:04,4,4.5,4.5,32,33,Normal,8.5487406,80.8318441,
NC - 5210,2020/02/19,9:53:14,4,4.5,4.5,32,33,Normal,8.54874,80.8318437,
NC - 5210,2020/02/19,9:53:24,4,4.5,4.5,32,33,Normal,8.5487404,80.831844,
NC - 5210,2020/02/19,9:53:33,4,4.5,4.5,32,33,Normal,8.5487409,80.8318447,
NC - 5210,2020/02/19,9:53:43,4,4.5,4.5,32,33,Normal,8.5487412,80.8318454,
NC - 5210,2020/02/19,9:53:53,4,4.5,4.5,32,33,Normal,8.5487409,80.8318453,
NC - 5210,2020/02/19,9:54:03,4,4.5,4.5,32,33,Normal,8.5487406,80.8318448,
NC - 5210,2020/02/19,9:54:12,4,4.5,4.5,32,33,Normal,8.5487406,80.8318445,
NC - 5210,2020/02/19,9:54:23,4,4.5,4.5,32,33,Normal,8.5487403,80.8318444,
NC - 5210,2020/02/19,9:54:33,4,4.5,4.5,32,33,Normal,8.5487399,80.8318443,
NC - 5210,2020/02/19,9:54:43,4,4.5,4.5,32,33,Normal,8.5487397,80.8318442,
NC - 5210,2020/02/19,9:54:52,4,4.5,4.5,32,33,Normal,8.5487398,80.8318443,
NC - 5210,2020/02/19,9:55:02,4,4.5,4.5,32,33,Normal,8.5487403,80.8318441,
NC - 5210,2020/02/19,9:55:13,4,4.5,4.5,32,33,Normal,8.5487406,80.8318441,
NC - 5210,2020/02/19,9:55:22,4,4.5,4.5,32,33,Normal,8.5487405,80.8318444,
NC - 5210,2020/02/19,9:55:32,4,4.5,4.5,32,33,Normal,8.5487406,80.8318445,
NC - 5210,2020/02/19,9:55:42,4,4.5,4.5,32,33,Normal,8.548741,80.8318439,
NC - 5210,2020/02/19,9:55:52,4,4.5,4.5,32,33,Normal,8.5487411,80.8318439,
NC - 5210,2020/02/19,9:56:02,4,4.5,4.5,32,33,Normal,8.5487401,80.831844,
NC - 5210,2020/02/19,9:56:12,4,4.5,4.5,32,33,Normal,8.5487397,80.831844,
NC - 5210,2020/02/19,9:56:23,4,4.5,4.5,32,33,Normal,8.5487393,80.8318443,
NC - 5210,2020/02/19,9:56:32,4,4.5,4.5,32,33,Normal,8.548739,80.8318438,
NC - 5210,2020/02/19,9:56:43,4,4.5,4.5,32,33,Normal,8.5487386,80.8318434,
NC - 5210,2020/02/19,9:56:53,4,4.5,4.5,32,33,Normal,8.5487383,80.8318432,
NC - 5210,2020/02/19,9:57:04,4,4.5,4.5,32,33,Normal,8.5487386,80.8318429,
NC - 5210,2020/02/19,9:57:12,4,4.5,4.5,32,33,Normal,8.5487393,80.8318427,
NC - 5210,2020/02/19,9:57:24,4,4.5,4.5,32,33,Normal,8.5487389,80.831843,
NC - 5210,2020/02/19,9:57:35,4,4.5,4.5,32,33,Normal,8.5487383,80.8318432,
NC - 5210,2020/02/19,9:57:43,4,4.5,4.5,32,33,Normal,8.5487382,80.8318432,
NC - 5210,2020/02/19,9:57:54,4,4.5,4.5,32,33,Normal,8.5487384,80.831843,
NC - 5210,2020/02/19,9:58:05,4,4.5,4.5,32,33,Normal,8.5487388,80.8318428,
NC - 5210,2020/02/19,9:58:13,4,4.5,4.5,32,33,Normal,8.5487387,80.831843,
NC - 5210,2020/02/19,9:58:24,4,4.5,4.5,32,33,Normal,8.5487377,80.8318438,
NC - 5210,2020/02/19,9:58:34,4,4.5,4.5,32,33,Normal,8.5487359,80.8318451,
NC - 5210,2020/02/19,9:58:44,4,4.5,4.5,32,33,Normal,8.5487349,80.8318458,
NC - 5210,2020/02/19,9:58:54,4,4.5,4.5,32,33,Normal,8.5487353,80.8318456,
NC - 5210,2020/02/19,9:59:04,4,4.5,4.5,32,33,Normal,8.5487356,80.8318454,
NC - 5210,2020/02/19,9:59:13,4,4.5,4.5,32,33,Normal,8.5487358,80.8318453,
NC - 5210,2020/02/19,9:59:22,4,4.5,4.5,32,33,Normal,8.548736,80.8318454,
NC - 5210,2020/02/19,9:59:33,4,4.5,4.5,32,33,Normal,8.5487366,80.8318451,
NC - 5210,2020/02/19,9:59:43,4,4.5,4.5,32,33,Normal,8.5487369,80.831845,
NC - 5210,2020/02/19,9:59:52,4,4.5,4.5,32,33,Normal,8.5487358,80.8318448,
NC - 5210,2020/02/19,10:00:03,4,4.5,4.5,32,33,Normal,8.5487356,80.8318449,
NC - 5210,2020/02/19,10:00:12,4,4.5,4.5,32,33,Normal,8.5487359,80.8318448,
NC - 5210,2020/02/19,10:00:23,4,4.5,4.5,32,33,Normal,8.5487358,80.8318453,
NC - 5210,2020/02/19,10:00:32,4,4.5,4.5,32,33,Normal,8.5487364,80.8318456,
NC - 5210,2020/02/19,10:00:43,4,4.5,4.5,32,33,Normal,8.5487367,80.831846,
NC - 5210,2020/02/19,10:00:53,4,4.5,4.5,32,33,Normal,8.5487362,80.8318467,
NC - 5210,2020/02/19,10:01:03,4,4.5,4.5,32,33,Normal,8.5487358,80.8318469,
NC - 5210,2020/02/19,10:01:14,4,4.5,4.5,32,33,Normal,8.5487355,80.8318473,
NC - 5210,2020/02/19,10:01:24,4,4.5,4.5,32,33,Normal,8.5487355,80.8318473,
NC - 5210,2020/02/19,10:01:33,4,4.5,4.5,32,33,Normal,8.5487356,80.8318472,
NC - 5210,2020/02/19,10:01:43,4,4.5,4.5,32,33,Normal,8.5487359,80.831847,
NC - 5210,2020/02/19,10:01:53,4,4.5,4.5,32,33,Normal,8.548736,80.8318469,
NC - 5210,2020/02/19,10:02:04,4,4.5,4.5,32,33,Normal,8.5487355,80.8318473,
NC - 5210,2020/02/19,10:02:15,4,4.5,4.5,32,33,Normal,8.5487356,80.8318472,
NC - 5210,2020/02/19,10:02:23,4,4.5,4.5,32,33,Normal,8.5487357,80.8318471,
